 181500      'N1COIL'  'C79'     'C139'     'C199'     'C259'     'C319'      'C19'  
'PSF6FA    '   0.0   1.879e-07  1.703e-07  1.673e-07  1.605e-07  1.413e-07  1.864e-07
'PSI6A     '   0.0   1.555e-07  1.430e-07  1.388e-07  1.372e-07  1.154e-07  1.603e-07
'PSI12B    '   0.0  -1.021e-08 -1.204e-08 -1.143e-08 -8.428e-09 -9.460e-09 -1.135e-08
'PSI23B    '   0.0  -1.600e-08 -1.724e-08 -1.782e-08 -1.407e-08 -1.523e-08 -1.646e-08
'PSI34B    '   0.0  -2.106e-08 -2.159e-08 -2.116e-08 -1.868e-08 -1.822e-08 -2.042e-08
'PSI45B    '   0.0  -2.541e-08 -2.534e-08 -2.466e-08 -2.029e-08 -2.188e-08 -2.536e-08
'PSI58B    '   0.0  -3.497e-08 -3.606e-08 -3.440e-08 -2.879e-08 -3.016e-08 -3.299e-08
'PSI9B     '   0.0  -1.110e-07 -1.172e-07 -1.108e-07 -8.947e-08 -9.885e-08 -1.062e-07
'PSF7FB    '   0.0  -1.847e-07 -1.995e-07 -1.843e-07 -1.502e-07 -1.673e-07 -1.736e-07
'PSI7B     '   0.0  -1.798e-07 -1.973e-07 -1.791e-07 -1.438e-07 -1.620e-07 -1.643e-07
'PSF6FB    '   0.0  -3.658e-09 -6.559e-09 -4.057e-09 -1.370e-09 -5.468e-09 -9.881e-10
'PSI6B     '   0.0  -2.012e-07 -2.327e-07 -1.910e-07 -1.463e-07 -1.892e-07 -1.586e-07
'PSI89FB   '   0.0  -5.396e-08 -5.711e-08 -5.396e-08 -4.426e-08 -4.777e-08 -5.161e-08
'PSI89NB   '   0.0  -7.398e-08 -7.836e-08 -7.469e-08 -5.971e-08 -6.655e-08 -7.117e-08
'PSI1L     '   0.0  -5.516e-08 -5.986e-08 -5.512e-08 -4.466e-08 -4.926e-08 -5.163e-08
'PSI2L     '   0.0  -7.649e-08 -8.281e-08 -7.652e-08 -6.193e-08 -7.020e-08 -7.244e-08
'PSI3L     '   0.0  -9.913e-08 -1.077e-07 -9.838e-08 -7.952e-08 -8.997e-08 -9.378e-08
 168823      'N1COIL'  'C79'     'C139'     'C199'     'C259'     'C319'      'C19'  
