 181613      'BTI66M053'
 'PSF6NB    '    0.00e-00
 'PSF7NB    '    0.00e-00
 'PSF8B     '    0.00e-00
 'PSF9B     '    0.00e-00
 'PSI11M    '    0.00e-00
 'PSI12A    '    0.00e-00
 'PSI23A    '    0.00e-00
 'PSI34A    '    0.00e-00
 'PSI45A    '    0.00e-00
 'PSI58A    '    0.00e-00
 'PSI9A     '    0.00e-00
 'PSF7FA    '    0.00e-00
 'PSI7A     '    0.00e-00
 'PSF6FA    '    0.00e-00
 'PSI6A     '    0.00e-00
 'PSI12B    '    0.00e-00
 'PSI23B    '    0.00e-00
 'PSI34B    '    0.00e-00
 'PSI45B    '    0.00e-00
 'PSI58B    '    0.00e-00
 'PSI9B     '    0.00e-00
 'PSF7FB    '    0.00e-00
 'PSI7B     '    0.00e-00
 'PSF6FB    '    0.00e-00
 'PSI6B     '    0.00e-00
 'PSI89FB   '    0.00e-00
 'PSI89NB   '    0.00e-00
